[09/02 01:30] --- Ciclo 01:30 iniciado ---
[09/02 01:30] ⚡ ALERTA DISPARADO: TRXF11.SA
[09/02 01:30] ⚡ ALERTA DISPARADO: EQIX
[09/02 01:30] ⚡ ALERTA DISPARADO: JEPI
[09/02 01:30] ⚡ ALERTA DISPARADO: NOBL
[09/02 01:31] ⚡ ALERTA DISPARADO: MCD
[09/02 01:31] ⚡ ALERTA DISPARADO: SCHD
[09/02 11:21] 🔎 GLPI: $45.32 (RSI: 53)
[09/02 11:21] 🔎 IAUM: $49.36 (RSI: 56)
[09/02 11:21] 🔎 IBIT: $39.68 (RSI: 31)
[09/02 11:21] 🔎 JEPI: $59.11 (RSI: 63)
[09/02 11:21] 🔎 NOBL: $113.85 (RSI: 75)
[09/02 11:21] 🔎 O: $63.23 (RSI: 69)
[09/02 11:21] 🔎 OHI: $45.28 (RSI: 59)
[09/02 11:21] 🔎 PSA: $287.00 (RSI: 58)
[09/02 11:21] 🔎 QQQ: $609.65 (RSI: 44)
[09/02 11:21] 🔎 MCD: $327.16 (RSI: 73)
[09/02 11:22] 🔎 REXR: $38.97 (RSI: 44)
[09/02 11:22] 🔎 RING: $83.10 (RSI: 50)
[09/02 11:22] 🔎 SCHD: $31.47 (RSI: 87)
[09/02 11:22] 🔎 SHV: $110.18 (RSI: 42)
[09/02 11:22] 🔎 STAG: $39.31 (RSI: 68)
[09/02 11:22] 🔎 VICI: $28.76 (RSI: 57)
[09/02 11:22] 🔎 VNQ: $92.25 (RSI: 62)
[09/02 11:22] 🔎 VOO: $635.24 (RSI: 52)
[09/02 11:22] 🔎 BTC-USD: $68461.27 (RSI: 32)
[09/02 12:07] --- Ciclo 12:07 iniciado ---
[09/02 12:07] 🔎 ^BVSP: $183795.91 (RSI: 70)
[09/02 12:07] 🔎 BOVA11.SA: $180.29 (RSI: 70)
[09/02 12:07] 🔎 AFHI11.SA: $96.09 (RSI: 54)
[09/02 12:07] 🔎 CDII11.SA: $106.43 (RSI: 40)
[09/02 12:07] 🔎 GGRC11.SA: $9.99 (RSI: 55)
[09/02 12:07] 🔎 HFOF11.SA: $6.78 (RSI: 56)
[09/02 12:07] 🔎 HGLG11.SA: $156.86 (RSI: 45)
[09/02 12:07] 🔎 JURO11.SA: $102.64 (RSI: 48)
[09/02 12:07] 🔎 KFOF11.SA: $84.15 (RSI: 45)
[09/02 12:07] 🔎 KNCR11.SA: $105.30 (RSI: 43)
[09/02 12:07] 🔎 MXRF11.SA: $9.60 (RSI: 60)
[09/02 12:07] 🔎 PVBI11.SA: $82.58 (RSI: 55)
[09/02 12:07] 🔎 RBHG11.SA: $68.36 (RSI: 62)
[09/02 12:07] 🔎 RBVA11.SA: $9.89 (RSI: 44)
[09/02 12:07] 🔎 RECT11.SA: $37.96 (RSI: 39)
[09/02 12:07] 🔎 TRXF11.SA: $93.16 (RSI: 19)
[09/02 12:07] 🔎 VGIR11.SA: $9.82 (RSI: 52)
[09/02 12:07] 🔎 XPML11.SA: $110.24 (RSI: 56)
[09/02 12:07] 🔎 ARE: $55.19 (RSI: 52)
[09/02 12:07] 🔎 EPR: $55.67 (RSI: 61)
[09/02 12:07] 🔎 EQIX: $849.01 (RSI: 70)
[09/02 12:07] 🔎 GLPI: $45.32 (RSI: 53)
[09/02 12:07] 🔎 IAUM: $50.22 (RSI: 58)
[09/02 12:07] 🔎 IBIT: $39.61 (RSI: 31)
[09/02 12:07] 🔎 JEPI: $58.92 (RSI: 60)
[09/02 12:07] 🔎 NOBL: $113.26 (RSI: 70)
[09/02 12:07] 🔎 O: $62.89 (RSI: 66)
[09/02 12:07] 🔎 OHI: $45.06 (RSI: 57)
[09/02 12:07] 🔎 PSA: $286.72 (RSI: 57)
[09/02 12:07] 🔎 QQQ: $611.12 (RSI: 45)
[09/02 12:07] 🔎 MCD: $324.78 (RSI: 67)
[09/02 12:07] 🔎 REXR: $38.30 (RSI: 40)
[09/02 12:07] 🔎 RING: $85.59 (RSI: 54)
[09/02 12:08] 🔎 SCHD: $31.33 (RSI: 83)
[09/02 12:08] 🔎 SHV: $110.19 (RSI: 43)
[09/02 12:08] 🔎 STAG: $39.17 (RSI: 66)
[09/02 12:08] 🔎 VICI: $28.81 (RSI: 58)
[09/02 12:08] 🔎 VNQ: $91.91 (RSI: 59)
[09/02 12:08] 🔎 VOO: $636.30 (RSI: 53)
[09/02 12:08] 🔎 BTC-USD: $69613.84 (RSI: 33)
[09/02 14:15] --- Ciclo 14:15 iniciado ---
[09/02 14:15] 🔎 ^BVSP: $184695.88 (RSI: 71)
[09/02 14:15] 🔎 BOVA11.SA: $181.30 (RSI: 71)
[09/02 14:15] 🔎 AFHI11.SA: $96.25 (RSI: 55)
[09/02 14:15] 🔎 CDII11.SA: $106.52 (RSI: 40)
[09/02 14:15] 🔎 GGRC11.SA: $10.00 (RSI: 56)
[09/02 14:15] 🔎 HFOF11.SA: $6.81 (RSI: 59)
[09/02 14:15] 🔎 HGLG11.SA: $157.03 (RSI: 47)
[09/02 14:15] 🔎 JURO11.SA: $102.80 (RSI: 50)
[09/02 14:15] 🔎 KFOF11.SA: $84.33 (RSI: 46)
[09/02 14:15] 🔎 KNCR11.SA: $105.36 (RSI: 43)
[09/02 14:15] 🔎 MXRF11.SA: $9.61 (RSI: 61)
[09/02 14:15] 🔎 PVBI11.SA: $82.44 (RSI: 54)
[09/02 14:15] 🔎 RBHG11.SA: $68.97 (RSI: 66)
[09/02 14:16] 🔎 RBVA11.SA: $9.91 (RSI: 46)
[09/02 14:16] 🔎 RECT11.SA: $38.18 (RSI: 42)
[09/02 14:16] 🔎 TRXF11.SA: $93.25 (RSI: 20)
[09/02 14:16] ⚡ ALERTA DISPARADO: TRXF11.SA
[09/02 14:16] 🔎 VGIR11.SA: $9.80 (RSI: 50)
[09/02 14:16] 🔎 XPML11.SA: $110.45 (RSI: 56)
[09/02 14:16] 🔎 ARE: $55.17 (RSI: 52)
[09/02 14:16] 🔎 EPR: $55.95 (RSI: 63)
[09/02 14:16] 🔎 EQIX: $853.36 (RSI: 71)
[09/02 14:16] ⚡ ALERTA DISPARADO: EQIX
[09/02 14:16] 🔎 GLPI: $45.71 (RSI: 56)
[09/02 14:16] 🔎 IAUM: $50.51 (RSI: 59)
[09/02 14:16] 🔎 IBIT: $39.77 (RSI: 31)
[09/02 14:16] 🔎 JEPI: $59.05 (RSI: 62)
[09/02 14:16] 🔎 NOBL: $112.98 (RSI: 68)
[09/02 14:16] 🔎 O: $62.80 (RSI: 66)
[09/02 14:16] 🔎 OHI: $44.78 (RSI: 55)
[09/02 14:16] 🔎 PSA: $287.15 (RSI: 58)
[09/02 14:16] 🔎 QQQ: $616.12 (RSI: 49)
[09/02 14:16] 🔎 MCD: $323.74 (RSI: 65)
[09/02 14:16] 🔎 REXR: $38.27 (RSI: 40)
[09/02 14:16] 🔎 RING: $86.80 (RSI: 55)
[09/02 14:16] 🔎 SCHD: $31.30 (RSI: 82)
[09/02 14:16] 🔎 SHV: $110.19 (RSI: 43)
[09/02 14:16] 🔎 STAG: $39.16 (RSI: 65)
[09/02 14:16] 🔎 VICI: $28.95 (RSI: 60)
[09/02 14:16] 🔎 VNQ: $92.29 (RSI: 62)
